ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
413570612,2026-07-23T07:44:56,2026-07-23T07:46:20,buy,0.01,0.01,XAUUSDm,4095.716,4092.736,4092.736,,,,-2.98,,,sl
413568748,2026-07-23T07:43:38,2026-07-23T07:44:21,buy,0.01,0.01,XAUUSDm,4094.931,4094.952,4094.952,,,,0.02,,,sl
413562294,2026-07-23T07:40:09,2026-07-23T07:42:17,buy,0.01,0.01,XAUUSDm,4101.354,4098.613,4098.613,,,,-2.74,,,sl
413559307,2026-07-23T07:37:31,2026-07-23T07:38:48,buy,0.01,0.01,XAUUSDm,4104.691,4100.255,4101.017,,,,-4.43,,,sl
413283744,2026-07-22T19:25:13,2026-07-22T19:36:19,buy,0.01,0.01,XAUUSDm,4134.678,4134.689,4134.689,,,,0.01,,,sl
413273604,2026-07-22T18:38:59,2026-07-22T19:00:08,buy,0.01,0.01,XAUUSDm,4135.425,4135.439,4135.439,4165.74,,,0.01,,,sl
413235445,2026-07-22T16:59:33,2026-07-22T17:20:11,buy,0.01,0.01,XAUUSDm,4146.69,4142.705,4142.705,,,,-3.98,,,sl
413242761,2026-07-22T17:18:26,2026-07-22T17:19:20,buy,0.01,0.01,XAUUSDm,4144.577,4142.791,4142.791,,,,-1.79,,,sl
413240961,2026-07-22T17:12:54,2026-07-22T17:17:36,buy,0.01,0.01,XAUUSDm,4144.634,4143.024,4143.024,,,,-1.61,,,sl
413233513,2026-07-22T16:53:52,2026-07-22T16:56:43,buy,0.01,0.01,XAUUSDm,4147.331,4146.3730000000005,4145.341,4147.618,,,-0.96,,,user
413229598,2026-07-22T16:44:07,2026-07-22T16:47:41,sell,0.01,0.01,XAUUSDm,4147.642,4146.653,4150.661,,,,0.99,,,user
413225174,2026-07-22T16:36:39,2026-07-22T16:39:27,sell,0.01,0.01,XAUUSDm,4145.235,4148.779,4148.779,,,,-3.54,,,sl
413219347,2026-07-22T16:28:15,2026-07-22T16:33:32,buy,0.01,0.01,XAUUSDm,4150.052,4146.547,4146.547,,,,-3.5,,,sl
413212871,2026-07-22T16:18:00,2026-07-22T16:21:04,buy,0.01,0.01,XAUUSDm,4153.856,4154.261,4151.048,,,,0.4,,,user
413196119,2026-07-22T15:53:28,2026-07-22T16:06:28,sell,0.01,0.01,XAUUSDm,4164.039,4159.282999999999,4162.484,,,,4.76,,,user
413184996,2026-07-22T15:40:03,2026-07-22T15:40:35,sell,0.01,0.01,XAUUSDm,4157.369,4159.456,4162.1,,,,-2.09,,,user
412929290,2026-07-22T10:32:14,2026-07-22T10:35:12,buy,0.01,0.01,USOILm,86.406,86.489,86.254,,,,0.83,,,user
412912575,2026-07-22T09:54:05,2026-07-22T10:07:47,sell,0.01,0.01,USOILm,87.796,87.375,87.601,,,,4.21,,,user
412909263,2026-07-22T09:44:15,2026-07-22T09:51:17,sell,0.01,0.01,USOILm,87.183,87.688,87.688,84.571,,,-5.05,,,sl
412771162,2026-07-22T06:06:40,2026-07-22T06:28:47,sell,0.01,0.01,XAUUSDm,4132.103,4118.031,4122.596,,,,14.07,,,user
412760413,2026-07-22T05:54:51,2026-07-22T06:00:17,sell,0.01,0.01,XAUUSDm,4129.663,4134.421,4134.421,,,,-4.76,,,sl
412500633,2026-07-21T18:41:04,2026-07-21T18:47:36,buy,0.01,0.01,XAUUSDm,4082.843,4080.782,4080.782,,,,-2.06,,,sl
412496042,2026-07-21T18:27:21,2026-07-21T18:34:19,sell,0.01,0.01,XAUUSDm,4085.64,4085.611,4085.611,,,,0.03,,,sl
412480322,2026-07-21T17:37:03,2026-07-21T17:40:23,buy,0.01,0.01,XAUUSDm,4070.029,4068.535,4068.535,,,,-1.49,,,sl
412467469,2026-07-21T16:48:03,2026-07-21T17:00:57,buy,0.01,0.01,XAUUSDm,4070.989,4071.026,4071.026,,,,0.04,,,sl
412465850,2026-07-21T16:45:09,2026-07-21T16:47:20,buy,0.01,0.01,XAUUSDm,4072.678,4069.977,4069.977,,,,-2.7,,,sl
412463633,2026-07-21T16:39:29,2026-07-21T16:42:11,buy,0.01,0.01,XAUUSDm,4074.117,4073.745,4070.952,,,,-0.37,,,user
412434603,2026-07-21T15:37:16,2026-07-21T15:46:20,sell,0.01,0.01,XAUUSDm,4082.041,4075.855,4081.818,,,,6.18,,,user
412430732,2026-07-21T15:33:33,2026-07-21T15:37:05,sell,0.01,0.01,XAUUSDm,4077.539,4083.632,4083.632,,,,-6.09,,,sl
411676619,2026-07-20T17:02:37,2026-07-20T17:16:36,sell,0.01,0.01,XAUUSDm,4010.74,4010.672,4010.672,4001.284,,,0.07,,,sl
411665066,2026-07-20T16:38:42,2026-07-20T16:41:23,buy,0.01,0.01,XAUUSDm,4011.476,4005.4900000000002,4008.992,,,,-5.99,,,sl
411467935,2026-07-20T12:31:08,2026-07-20T14:55:12,buy,0.05,0.05,USDCADm,1.40493,1.40521,1.40493,1.40521,,,1,,,tp
411410529,2026-07-20T11:37:19,2026-07-20T11:38:52,sell,0.01,0.01,XAUUSDm,4031.417,4032.164,4032.164,,,,-0.74,,,sl
411308762,2026-07-20T08:42:19,2026-07-20T08:52:21,sell,0.01,0.01,XAUUSDm,4022.87,4019.165,4025.688,,,,3.7,,,user
411287902,2026-07-20T08:19:23,2026-07-20T08:24:38,sell,0.01,0.01,XAUUSDm,4026.028,4026.106,4026.106,,,,-0.08,,,sl
411235087,2026-07-20T07:25:17,2026-07-20T07:32:50,buy,0.01,0.01,XAUUSDm,4005.781,4009.292,4005.796,,,,3.51,,,user
411231632,2026-07-20T07:22:45,2026-07-20T07:25:02,buy,0.01,0.01,XAUUSDm,4006.342,4005.763,4006.382,,,,-0.58,,,sl
410642102,2026-07-17T17:02:30,2026-07-17T17:58:50,sell,0.01,0.01,XAUUSDm,4017.599,4009.517,4015.521,,,,8.08,,,user
410640055,2026-07-17T16:58:54,2026-07-17T17:01:23,sell,0.01,0.01,XAUUSDm,4015.433,4018.309,4018.309,,,,-2.88,,,sl
410638610,2026-07-17T16:54:26,2026-07-17T16:57:00,sell,0.01,0.01,XAUUSDm,4016.475,4016.419,4016.402,,,,0.06,,,sl
410607850,2026-07-17T16:04:57,2026-07-17T16:09:19,sell,0.01,0.01,XAUUSDm,4016.71,4017.983,4017.983,,,,-1.27,,,sl
410602755,2026-07-17T16:01:15,2026-07-17T16:04:29,sell,0.01,0.01,XAUUSDm,4014.517,4017.616,4017.616,,,,-3.1,,,sl
410600047,2026-07-17T15:57:42,2026-07-17T16:00:00,sell,0.01,0.01,XAUUSDm,4017.971,4019.757,4019.757,,,,-1.79,,,sl
410594565,2026-07-17T15:51:14,2026-07-17T15:52:51,sell,0.01,0.01,XAUUSDm,4018.193,4019.906,4019.906,,,,-1.72,,,sl
410591563,2026-07-17T15:47:54,2026-07-17T15:50:12,sell,0.01,0.01,XAUUSDm,4016.181,4018.637,4018.637,,,,-2.46,,,sl
410585465,2026-07-17T15:39:56,2026-07-17T15:41:22,sell,0.01,0.01,XAUUSDm,4014.622,4014.601,4014.601,,,,0.02,,,sl
410577788,2026-07-17T15:31:37,2026-07-17T15:36:23,sell,0.01,0.01,XAUUSDm,4014.489,4014.463,4014.463,,,,0.03,,,sl
410386961,2026-07-17T13:02:13,2026-07-17T13:07:48,buy,0.01,0.01,XAUUSDm,3962.209,3972.011,3969.275,,,,9.8,,,user
410370591,2026-07-17T12:51:02,2026-07-17T12:58:07,buy,0.01,0.01,XAUUSDm,3966.403,3968.441,3968.441,,,,2.04,,,sl
410361724,2026-07-17T12:45:38,2026-07-17T12:50:27,buy,0.01,0.01,XAUUSDm,3967.713,3964.677,3964.677,,,,-3.03,,,sl
410360138,2026-07-17T12:44:47,2026-07-17T12:45:12,buy,0.01,0.01,XAUUSDm,3969.618,3966.013,3966.013,,,,-3.61,,,sl
